IDCOT;IMMOSIS;TYPE_DOSSIER;OCCUPANT;DIT;REGION;DATE_DEBUT_COT;DATE_FIN_COT;FRAIS_DOSSIER;REDEVANCE;EN_SITE;UT;PROCESS;PHASE_ACTUELLE;REINT_PLATEFORME;ANCIENNE_NUM;NUM_AFFAIRE;COMMUNE;LIGNE;PK;PARCELLE_FERROVIERE;TYPE_RESEAU;DSP_CONCESSION;ID_COT;GEO
202103-SR-81-00384;506937;Backlog, Creation;RTE;DIT Grand Sud;Occitanie;09/03/2022;09/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;17-A478;;LESCURE-D'ALBIGEOIS;736 000;PK 418+400 approximatif;BH 20;Electricité ?;No;-384;
202102-SR-13-00001;516801;Avenant admin,;M, Cedric REZETTE;DIT Grand Sud;PACA;06/02/2021;06/02/2041;1 257,30 €;38,52 €;Non;;Réseau;COT Active;;14-A867;;Meyrargues;905000;383+053;AP 0007;Eau ??;No;1;
202103-SR-44-00005;497191;Backlog, Creation;Atlantic’eau;DIT Centre - Ouest;Pays de Loire;30/11/2021;30/11/2041;1 000,00 €;286,69 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;DREFFÉAC;470000-1;PK 488+126;ZD 141;Eau ??;No;5;
202107-SR-77-00008;;Création Plateforme;GRTGaz;;;;;38,11 €;0,00 €;;;Réseau;COT Active;;;;Crisenoy;752 100 (LGV);036+009 (PRA);YB 19;Gaz ?;No;8;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.722650105133653,48.5921182868783],[2.723666662350297,48.592221181870656],[2.7239402476698156,48.592249566659234],[2.7242272440344095,48.5922602109508],[2.724667126312852,48.591947977465054],[2.7240931335836645,48.59178476373867],[2.7226045075803995,48.591529297717244],[2.7223926130682226,48.59198878081426],[2.722650105133653,48.5921182868783]]]},""properties"":null}]}"
202103-SR-82-00008;502825;Backlog, Creation;ENEDIS;DIT Grand Sud;Occitanie;15/02/2022;15/02/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;19-A595;;MONTBARTIER;640000-1;PK 220+087;C 177;Electricité ?;No;8;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.722650105133653,48.5921182868783],[2.723666662350297,48.592221181870656],[2.7239402476698156,48.592249566659234],[2.7242272440344095,48.5922602109508],[2.724667126312852,48.591947977465054],[2.7240931335836645,48.59178476373867],[2.7226045075803995,48.591529297717244],[2.7223926130682226,48.59198878081426],[2.722650105133653,48.5921182868783]]]},""properties"":null}]}"
202103-SR-69-00011;516136;Backlog, Creation;Communauté de communes du Pays de l’Arbresle;DIT Auvergnes Rhone Alpes Bourgogne Franches Comté;Auvergnes Rhone Alpes;24/11/2021;24/11/2041;1 000,00 €;417,27 €;Non;;Réseau;COT Active;Réintégré Plateforme;;;COURZIEU;782000-1;PK 32+391 (PN 23) et PK entre 32+580 et 32+610 (PN 23-2);AC 232, AC 31, AC 28, et AC 22 ;Eau ??;No;11;
202103-GC-49-00014;562642;Backlog, Creation;ENEDIS;DIT Ouest Centre Val de Loire;Pays de la Loire;24/08/2022;23/08/2042;38,11 €;0,00 €;Oui;002786V;G&C, Réseau;COT Active;;;DA27/067931;Angers;515000-1;342+900;DK678, DK 769 (G&C) et DK684 (SNCF Réseau)  ;Electricité ?;No;14;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[4.841729253530502,47.78681192692699],[4.84177753329277,47.786606481155445],[4.8428262770175925,47.786572240114566],[4.8428986966609955,47.786750653711664],[4.841729253530502,47.78681192692699]]]},""properties"":null}]}"
202103-SR-03-00030;506333;Backlog, Creation;ENEDIS;DIT Auvergne Rhône Alpes Bourgogne Franche Comté;Auvergne Rhône Alpes;03/03/2022;03/03/2042;38,11 €;0,00 €;Non;;Réseau;COT Active;Réintégré Plateforme;18-A420;;MONTLUCON;702000-1;PK 328+147;CK  26;Electricité ?;No;30;
202103-SR-86-00032;537945;Backlog, Creation;SRD;DIT Nouvelle Aquitaine;Nouvelle Aquitaine;01/03/2023;28/02/2043;1 000,00 €;2,40 €;Non;;Réseau;COT Active;;;;LOUDUN;573000-1;PK 003+823 (PN 4);XX 15;Electricité ?;No;32;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.2735041288472084,49.16442943167209],[2.275757193402871,49.16522218081505],[2.2759717701240625,49.16393133572555],[2.278847089204875,49.16101978940094],[2.2761005071736244,49.159981415493945],[2.275907388124552,49.159925286554454],[2.268053880128947,49.15738538547757],[2.2672170309163007,49.15852204239283],[2.2749417928791913,49.16097769358487],[2.276164880189982,49.16135655464123],[2.2735041288472084,49.16442943167209]]]},""properties"":null}]}"
202103-SR-13-00038;521510;Backlog, Creation;ENEDIS;DIT Grand Sud;PACA;11/01/2022;11/01/2042;38,11 €;0,00 €;Oui;022413Z;Réseau;COT Active;;;DC25/038851;AIX-EN-PROVENCE;905000-2 à proximité;PK 403+300 et 403+500 à proximité;MN 238;Electricité ?;No;38;"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""id"":0,""geometry"":{""type"":""Polygon"",""coordinates"":[[[2.42360719,48.900243829999994],[2.4238646900000003,48.90022972],[2.4234140800000006,48.90154153],[2.42299565,48.901647319999995],[2.42348918,48.90030730000001],[2.42360719,48.900243829999994]]]},""properties"":null}]}"
